,team,playerid,name,assists,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,round,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,GW,fdr
2344,9,161,Benjamin_Chilwell_161,0,0,0.0,0,0,0.0,0.0,0,5,23,0,1.0,2.0,0.0,0,57,False,0,23,3.0
2345,9,162,Jonny_Evans_162,0,0,0.5,2,0,2.7,16.8,90,5,23,0,1.0,2.0,10.0,1,53,False,0,23,3.0
2346,9,164,Çaglar_Söyüncü_164,0,0,1.4,2,0,1.8,12.0,90,5,23,0,1.0,2.0,5.0,1,51,False,0,23,3.0
2347,9,166,Jamie_Vardy_166,0,0,1.3,2,0,5.7,13.2,90,5,23,0,1.0,2.0,42.0,0,101,False,0,23,3.0
2348,9,168,Kasper_Schmeichel_168,0,0,0.0,2,0,2.4,24.0,90,5,23,3,1.0,2.0,0.0,2,54,False,0,23,3.0
2349,9,171,James_Maddison_171,0,0,62.2,2,0,11.9,15.0,90,5,23,0,1.0,2.0,42.0,2,77,False,0,23,3.0
2350,9,172,Harvey_Barnes_172,0,0,35.7,2,1,13.7,44.6,90,5,23,0,1.0,2.0,57.0,7,59,False,0,23,3.0
2351,10,181,Andrew_Robertson_181,0,1,18.6,0,0,3.4,11.0,90,12,23,0,0.0,2.0,4.0,6,70,True,0,23,4.0
2352,10,182,Trent_Alexander-Arnold_182,1,1,34.9,0,0,6.7,30.0,90,12,23,0,0.0,2.0,2.0,10,75,True,0,23,4.0
2353,10,183,Virgil_van Dijk_183,0,1,0.4,0,1,7.6,55.0,90,12,23,0,0.0,2.0,21.0,15,64,True,0,23,4.0
2354,10,187,Roberto_Firmino_187,0,1,36.1,0,0,9.3,10.8,82,12,23,0,0.0,2.0,46.0,2,94,True,0,23,4.0
2355,10,189,Alisson_Ramses Becker_189,1,1,10.0,0,0,5.3,43.2,90,12,23,4,0.0,2.0,0.0,13,61,True,0,23,4.0
2356,10,191,Mohamed_Salah_191,0,1,32.7,0,1,13.2,44.4,90,12,23,0,0.0,2.0,55.0,7,123,True,1,23,4.0
2357,10,192,Sadio_Mané_192,0,1,25.5,0,0,7.0,3.2,82,12,23,0,0.0,2.0,41.0,3,124,True,0,23,4.0
2358,10,198,Jordan_Henderson_198,0,1,15.8,0,0,5.6,20.8,90,12,23,0,0.0,2.0,19.0,3,54,True,0,23,4.0
2359,10,199,Georginio_Wijnaldum_199,0,1,13.6,0,0,2.7,11.8,90,12,23,0,0.0,2.0,2.0,3,54,True,0,23,4.0
2360,11,203,Kyle_Walker_203,0,0,0.0,0,0,0.0,0.0,0,7,23,0,2.0,2.0,0.0,0,57,True,0,23,2.0
2361,11,210,Sergio_Agüero_210,0,0,2.2,2,2,22.3,69.4,90,7,23,0,2.0,2.0,151.0,13,118,True,0,23,2.0
2362,11,211,Gabriel Fernando_de Jesus_211,1,0,16.3,1,0,4.8,17.4,28,7,23,0,2.0,2.0,14.0,4,95,True,0,23,2.0
2363,11,212,Ederson_Santana de Moraes_212,0,0,0.0,2,0,1.8,18.2,90,7,23,2,2.0,2.0,0.0,1,60,True,0,23,2.0
